,name,weight
0,manage staff,2035
1,manage budgets,1322
2,create solutions to problems,1172
3,train employees,1156
4,develop professional network,1151
5,have computer literacy,1031
6,use different communication channels,1018
7,recruit employees,972
8,perform market research,933
9,quality standards,914
10,write work-related reports,906
11,liaise with managers,883
12,adhere to organisational guidelines,876
13,speak different languages,843
14,apply conflict management,835
15,ensure cross-department cooperation,799
16,identify customers needs,787
17,comply with food safety and hygiene,754
18,implement marketing strategies,739
19,adapt to artists creative demands,726
20,meet deadlines,711
21,plan medium to long term objectives,706
22,build business relationships,700
23,perform risk analysis,696
24,apply numeracy skills,688
25,implement sales strategies,686
26,handle customer complaints,670
27,organise rehearsals,669
28,guarantee students safety,661
29,project management,658
30,maintain customer service,658
31,maintain relationship with customers,650
32,curriculum objectives,648
33,coordinate with creative departments,646
34,think analytically,644
35,promote health and safety,643
36,international commercial transactions rules,643
37,theatre techniques,637
38,negotiate health and safety issues with third parties,636
39,maintain relationship with suppliers,632
40,write risk assessment on performing arts production,628
41,develop revenue generation strategies,628
42,troubleshoot,621
43,manage hospitality revenue,620
44,coordinate technical teams in artistic productions,620
45,perform project management,603
46,develop financial statistics reports,596
47,listen actively,575
48,company policies,573
49,maintain financial records,570
50,employment law,565
51,ensure equipment availability,560
52,engineering principles,553
53,present reports,553
54,apply health and safety standards,550
55,corporate social responsibility,545
56,inspect data,540
57,perform scientific research,536
58,mathematics,532
59,produce statistical financial records,532
60,ensure customs compliance,531
61,develop business case,528
62,scientific research methodology,524
63,conduct financial audits,521
64,monitor financial accounts,520
65,prepare lesson content,520
66,manage contracts,507
67,give constructive feedback,504
68,ensure price competitiveness,501
69,forecast occupancy demand,501
70,international import export regulations,499
71,comprehend financial business terminology,498
72,produce sales reports,491
73,communicate with customers,491
74,analyse booking patterns,487
75,abide by business ethical code of conducts,487
76,order supplies,485
77,liaise with educational support staff,482
78,provide cost benefit analysis reports,481
79,build rapport with people from different cultural backgrounds,480
80,apply procurement,473
81,government policy implementation,471
82,mechanics,471
83,perform financial risk management in international trade,468
84,learning difficulties,467
85,follow company standards,466
86,delegate activities,464
87,embargo regulations,459
88,general principles of food law,456
89,apply teaching strategies,455
90,study sales levels of products,454
91,negotiate sales contracts,453
92,monitor international market performance,452
93,engineering processes,452
94,ensure customer focus,452
95,wear appropriate protective gear,451
96,keep records of work progress,447
97,coach employees,447
98,follow health and safety procedures in construction,446
99,perform test run,435
100,ensure compliance with legal requirements,434
101,assessment processes,430
102,ensure correct goods labelling,428
103,apply organisational techniques,424
104,interpret financial statements,421
105,provide lesson materials,419
106,strive for company growth,416
107,liaise with educational staff,409
108,export control principles,409
109,direct distribution operations,408
110,assess students,407
111,negotiate buying conditions,406
112,regulations on substances,406
113,plan health and safety procedures,403
114,measure customer feedback,402
115,manage government policy implementation,400
116,assist in the organisation of school events,399
117,statistics,398
118,control trade commercial documentation,395
119,managing a business with great care,394
120,assist students in their learning,393
121,conduct performance measurement,390
122,set import export strategies,390
123,product comprehension,387
124,manage processes,387
125,government representation,385
126,economics,384
127,monitor stock level,382
128,use CAD software,377
129,promote inclusion,374
130,develop working procedures,373
131,work ergonomically,373
132,accept own accountability,372
133,maximise sales revenues,370
134,technical drawings,369
135,advise on public finance,367
136,record test data,367
137,quote prices,367
138,food hygiene rules,366
139,work in a multicultural environment in health care,365
140,protective measures against the introduction of organisms,364
141,liaise with local authorities,362
142,draw blueprints,361
143,manage supplies,360
144,negotiate with stakeholders,360
145,analyse problems for opportunities,360
146,business management principles,360
147,use technical drawing software,358
148,perform classroom management,358
149,set sales goals,355
150,commercial law,354
151,analyse financial performance of a company,351
152,quality assurance methodologies,351
153,control of expenses,351
154,sales activities,349
155,demonstrate when teaching,348
156,apply technical communication skills,347
157,adjust engineering designs,346
158,apply intercultural teaching strategies,346
159,inspect quality of products,339
160,ensure compliance with purchasing and contracting regulations,339
161,monitor customer service,339
162,execute feasibility study,338
163,labour legislation,336
164,food storage,336
165,monitor educational developments,333
166,keep task records,332
167,read standard blueprints,332
168,design principles,331
169,financial statements,329
170,animal health rules of distribution of products of animal origin,328
171,guarantee customer satisfaction,327
172,customer service,322
173,copyright legislation,321
174,represent the organisation,321
175,manage theft prevention,321
176,physics,320
177,provide advice to technicians,318
178,meat and meat products,316
179,set up pricing strategies,314
180,manage schedule of tasks,311
181,maintain relationships with government agencies,311
182,obtain relevant licenses,309
183,supervise merchandise displays,309
184,oversee promotional sales prices,307
185,contract law,307
186,develop business plans,306
187,public finance,305
188,monitor developments in field of expertise,303
189,respond to enquiries,302
190,build international relations,301
191,use communication techniques,300
192,show intercultural awareness,300
193,observe students progress,298
194,assist students with equipment,297
195,execute analytical mathematical calculations,296
196,perform resource planning,296
197,define technical requirements,294
198,address problems critically,293
199,provide customer follow-up services,289
200,monitor automated machines,287
201,electricity,286
202,set up the controller of a machine,285
203,make strategic business decisions,282
204,assess risk factors,281
205,consider economic criteria in decision making,280
206,advise on financial matters,280
207,develop organisational policies,278
208,tolerate stress,277
209,ensure equipment maintenance,276
210,handle conflicts,272
211,lead a team,272
212,assess financial viability,271
213,accounting techniques,270
214,supply machine,268
215,sales strategies,268
216,use a computer,268
217,electronics,268
218,analyse internal factors of companies,267
219,establish daily priorities,266
220,analyse market financial trends,265
221,observe confidentiality,265
222,work with virtual learning environments,262
223,funding methods,262
224,perform political negotiation,261
225,show an exemplary leading role in an organisation,261
226,develop course outline,260
227,education law,260
228,disassemble equipment,260
229,oversee construction project,259
230,identify suppliers,258
231,advise on legislative acts,257
232,tax legislation,257
233,create project specifications,257
234,manage logistics,256
235,align efforts towards business development,255
236,safety engineering,254
237,conduct quantitative research,253
238,university procedures,253
239,use personal protection equipment,251
240,read engineering drawings,251
241,supervise daily information operations,251
242,provide technical documentation,251
243,teamwork principles,249
244,supervise staff,248
245,interpret technical requirements,248
246,comply with legislation related to health care,246
247,plan transport operations,246
248,apply HACCP,245
249,provide technical expertise,245
250,facilitate teamwork between students,245
251,apply GMP,244
252,apply requirements concerning manufacturing of food and beverages,242
253,financial management,240
254,conduct qualitative research,240
255,track key performance indicators,240
256,ensure compliance with environmental legislation,239
257,apply person-centred care,239
258,adapt teaching to students capabilities,239
259,characteristics of products,239
260,cooperate with education professionals,238
261,estimate duration of work,238
262,foreign affairs,237
263,manage student relationships,237
264,characteristics of services,237
265,blueprints,234
266,manage health and safety standards,232
267,sales argumentation,232
268,analyse external factors of companies,231
269,e-commerce systems,230
270,JavaScript,229
271,consult technical resources,227
272,apply scientific methods,227
273,handle financial transactions,225
274,communicate effectively in healthcare,225
275,oversee quality control,224
276,market analysis,223
277,curriculum standards,222
278,energy performance of buildings,222
279,write stress analysis reports,221
280,market research,220
281,instruct on safety measures,220
282,develop international cooperation strategies,219
283,ensure public safety and security,218
284,analyse staff capacity,218
285,review construction plans authorisations,218
286,computer programming,218
287,legal requirements in the social sector,218
288,interview people,218
289,cost management,217
290,relate empathetically,216
291,issue sales invoices,215
292,assist customers,215
293,develop design plans,215
294,use measurement instruments,214
295,AJAX,214
296,manufacturing processes,214
297,use safety equipment in construction,214
298,social justice,213
299,handle sensitive products,213
300,demonstrate products features,213
301,liaise with board members,212
302,identify legal requirements,211
303,PHP,211
304,identify construction materials from blueprints,211
305,compile course material,210
306,issue official documents,210
307,CAD software,210
308,ensure safety of healthcare users,210
309,social sciences,210
310,SAS language,209
311,promote social change,209
312,develop project schedule,209
313,disassemble machines,209
314,follow work schedule,208
315,Scala,208
316,use testing equipment,208
317,approve engineering design,207
318,liaise with colleagues,207
319,work within communities,207
320,dismantle broken appliances,207
321,apply quality standards in social services,206
322,maintain records of work with service users,206
323,offer assistance to national citizens,206
324,Pascal (computer programming),205
325,assess social service users situation,205
326,mechanical engineering,205
327,create a financial plan,204
328,follow clinical guidelines,204
329,communicate with social service users,204
330,report analysis results,204
331,APL,203
332,ML (computer programming),203
333,create a financial report,203
334,manage social crisis,203
335,perform safety data analysis,203
336,radiation protection,203
337,implement strategic planning,202
338,Python (computer programming),202
339,advocate for social service users,202
340,deliver social services in diverse cultural communities,202
341,build helping relationship with social service users,202
342,SAP R3,201
343,Lisp,201
344,Ruby (computer programming),201
345,COBOL,201
346,report on social development,201
347,budgetary principles,201
348,nuclear energy,201
349,internal risk management policy,201
350,food legislation,200
351,contribute to protecting individuals from harm,200
352,C#,199
353,analyse financial risk,199
354,follow health and safety precautions in social care practices,199
355,Smalltalk (computer programming),198
356,MATLAB,198
357,Groovy,198
358,Visual Studio .NET,198
359,inspect construction supplies,198
360,demonstrate leadership in social service cases,198
361,undertake continuous professional development in social work,198
362,communicate professionally with colleagues in other fields,198
363,manage resources for educational purposes,198
364,analyse consumer buying trends,198
365,R,197
366,prepare production prototypes,197
367,finish project within budget,196
368,Swift (computer programming),196
369,Common Lisp,196
370,obtain financial information,196
371,perform laboratory tests,196
372,Haskell,195
373,Assembly (computer programming),195
374,VBScript,195
375,C++,194
376,OpenEdge Advanced Business Language,194
377,Perl,194
378,apply socially just working principles,194
