name,weight
manage staff,2035
manage budgets,1322
create solutions to problems,1172
train employees,1156
develop professional network,1151
have computer literacy,1031
use different communication channels,1018
recruit employees,972
perform market research,933
quality standards,914
write work-related reports,906
liaise with managers,883
adhere to organisational guidelines,876
speak different languages,843
apply conflict management,835
ensure cross-department cooperation,799
"""identify customers needs""",787
comply with food safety and hygiene,754
implement marketing strategies,739
"""adapt to artists creative demands""",726
meet deadlines,711
plan medium to long term objectives,706
build business relationships,700
perform risk analysis,696
apply numeracy skills,688
implement sales strategies,686
handle customer complaints,670
organise rehearsals,669
"""guarantee students safety""",661
project management,658
maintain customer service,658
maintain relationship with customers,650
curriculum objectives,648
coordinate with creative departments,646
think analytically,644
promote health and safety,643
international commercial transactions rules,643
theatre techniques,637
negotiate health and safety issues with third parties,636
maintain relationship with suppliers,632
write risk assessment on performing arts production,628
develop revenue generation strategies,628
troubleshoot,621
manage hospitality revenue,620
coordinate technical teams in artistic productions,620
perform project management,603
develop financial statistics reports,596
listen actively,575
company policies,573
maintain financial records,570
employment law,565
ensure equipment availability,560
engineering principles,553
present reports,553
apply health and safety standards,550
corporate social responsibility,545
inspect data,540
perform scientific research,536
mathematics,532
produce statistical financial records,532
ensure customs compliance,531
develop business case,528
scientific research methodology,524
conduct financial audits,521
monitor financial accounts,520
prepare lesson content,520
manage contracts,507
give constructive feedback,504
ensure price competitiveness,501
forecast occupancy demand,501
international import export regulations,499
comprehend financial business terminology,498
produce sales reports,491
communicate with customers,491
analyse booking patterns,487
abide by business ethical code of conducts,487
order supplies,485
liaise with educational support staff,482
provide cost benefit analysis reports,481
build rapport with people from different cultural backgrounds,480
apply procurement,473
government policy implementation,471
mechanics,471
perform financial risk management in international trade,468
learning difficulties,467
follow company standards,466
delegate activities,464
embargo regulations,459
general principles of food law,456
apply teaching strategies,455
study sales levels of products,454
negotiate sales contracts,453
monitor international market performance,452
engineering processes,452
ensure customer focus,452
wear appropriate protective gear,451
keep records of work progress,447
coach employees,447
follow health and safety procedures in construction,446
perform test run,435
ensure compliance with legal requirements,434
assessment processes,430
ensure correct goods labelling,428
apply organisational techniques,424
interpret financial statements,421
provide lesson materials,419
strive for company growth,416
liaise with educational staff,409
export control principles,409
direct distribution operations,408
assess students,407
negotiate buying conditions,406
regulations on substances,406
plan health and safety procedures,403
measure customer feedback,402
manage government policy implementation,400
assist in the organisation of school events,399
statistics,398
control trade commercial documentation,395
managing a business with great care,394
assist students in their learning,393
conduct performance measurement,390
set import export strategies,390
product comprehension,387
manage processes,387
government representation,385
economics,384
monitor stock level,382
use CAD software,377
promote inclusion,374
develop working procedures,373
work ergonomically,373
accept own accountability,372
maximise sales revenues,370
technical drawings,369
advise on public finance,367
record test data,367
quote prices,367
food hygiene rules,366
work in a multicultural environment in health care,365
protective measures against the introduction of organisms,364
liaise with local authorities,362
draw blueprints,361
manage supplies,360
negotiate with stakeholders,360
analyse problems for opportunities,360
business management principles,360
use technical drawing software,358
perform classroom management,358
set sales goals,355
commercial law,354
analyse financial performance of a company,351
quality assurance methodologies,351
control of expenses,351
sales activities,349
demonstrate when teaching,348
apply technical communication skills,347
adjust engineering designs,346
apply intercultural teaching strategies,346
inspect quality of products,339
ensure compliance with purchasing and contracting regulations,339
monitor customer service,339
execute feasibility study,338
labour legislation,336
food storage,336
monitor educational developments,333
keep task records,332
read standard blueprints,332
design principles,331
financial statements,329
animal health rules of distribution of products of animal origin,328
guarantee customer satisfaction,327
customer service,322
copyright legislation,321
represent the organisation,321
manage theft prevention,321
physics,320
provide advice to technicians,318
meat and meat products,316
set up pricing strategies,314
manage schedule of tasks,311
maintain relationships with government agencies,311
obtain relevant licenses,309
supervise merchandise displays,309
oversee promotional sales prices,307
contract law,307
develop business plans,306
public finance,305
monitor developments in field of expertise,303
respond to enquiries,302
build international relations,301
use communication techniques,300
show intercultural awareness,300
"""observe students progress""",298
assist students with equipment,297
execute analytical mathematical calculations,296
perform resource planning,296
define technical requirements,294
address problems critically,293
provide customer follow-up services,289
monitor automated machines,287
electricity,286
set up the controller of a machine,285
make strategic business decisions,282
assess risk factors,281
